Naslovi,Ocene,Število glasov,Leto izdaje,Žanr
2001: Vesoljska odiseja,8.3, 762K,1968,Adventure Sci-Fi 
Lawrence Arabski,8.3, 333K,1962,Adventure Biography Drama 
Stekli psi,8.3, 1.1M,1992,Crime Thriller 
Brazgotinec,8.3, 981K,1983,Crime Drama 
Vročina,8.3, 770K,1995,Action Crime Drama 
Dvojno zavarovanje,8.3, 177K,1944,Crime Drama Film-Noir 
Sever-severozahod,8.3, 363K,1959,Adventure Drama Mystery 
V višave,8.3, 1.2M,2009,Animation Adventure Comedy 
M - mesto isce morilca,8.3, 179K,1931,Crime Mystery Thriller 
Državljan Kane,8.2, 485K,1941,Drama Mystery 
Full Metal Jacket,8.2, 831K,1987,Drama War 
Vrtoglavica,8.2, 450K,1958,Mystery Romance Thriller 
Le fabuleux destin d'Amélie Poulain,8.3, 824K,2001,Comedy Romance 
Taare Zameen Par,8.3, 223K,2007,Drama Family 
Ločitev,8.3, 272K,2011,Drama 
Ubiti ptico oponašalko,8.3, 346K,1962,Crime Drama 
Umri pokončno,8.2, 999K,1988,Action Thriller 
Indiana Jones in Zadnji križarski pohod,8.2, 846K,1989,Action Adventure 
Želo,8.2, 293K,1973,Comedy Crime Drama 
Peklenska pomaranča,8.2, 919K,1971,Crime Sci-Fi 
Metropolis,8.3, 196K,1927,Drama Sci-Fi 
Oppenheimer,8.3, 928K,2023,Biography Drama History 
Pljuni in jo stisni,8.2, 954K,2000,Comedy Crime 
1917,8.2, 740K,2019,Action Drama War 
Hababam Sinifi: Sinifta Kaldi,8.6, 28K,1975,Comedy 
L. A. zaupno,8.2, 646K,1997,Crime Drama Mystery 
Tatovi koles,8.2, 188K,1948,Drama 
Propad,8.2, 392K,2004,Biography Drama History 
Dangal,8.3, 231K,2016,Action Biography Drama 
Volk z Wall Streeta,8.2, 1.7M,2013,Biography Comedy Crime 
Zelena knjiga,8.2, 650K,2018,Biography Comedy Drama 
Hamilton,8.3, 131K,2020,Biography Drama History 
Trumanov show,8.2, 1.3M,1998,Comedy Drama 
Taksist,8.2, 992K,1976,Crime Drama 
Batman: na začetku,8.2, 1.7M,2005,Action Crime Drama 
Za dolar več,8.2, 292K,1965,Drama Western 
Sojenje v Nürnbergu,8.3, 93K,1961,Drama History War 
Zlovešči otok,8.2, 1.6M,2010,Drama Mystery Thriller 
Nekateri so za vroče,8.2, 298K,1959,Comedy Music Romance 
Jurski park,8.2, 1.1M,1993,Action Adventure Sci-Fi 
Deček,8.2, 143K,1921,Comedy Drama Family 
The Father,8.2, 218K,2020,Drama Mystery 
Vse o Evi,8.2, 146K,1950,Drama 
Tekla bo kri,8.2, 680K,2007,Drama 
Šesti čut,8.2, 1.1M,1999,Drama Mystery Thriller 
Ran,8.2, 146K,1985,Action Drama War 
Kazino,8.2, 600K,1995,Crime Drama 
Top Gun: Maverick,8.2, 798K,2022,Action Drama 
Ni prostora za starce,8.2, 1.1M,2007,Crime Drama Thriller 
Stvor,8.2, 506K,1982,Horror Mystery Sci-Fi 
Neoproščeno,8.2, 459K,1992,Drama Western 
Favnov labirint,8.2, 730K,2006,Drama Fantasy War 
Ubila bom Billa 1,8.2, 1.3M,2003,Action Crime Thriller 
Čudoviti um,8.2, 1M,2001,Biography Drama Mystery 
Ugrabljeni,8.2, 889K,2013,Crime Drama Mystery 
Zaklad Sierra Madre,8.2, 139K,1948,Adventure Drama Western 
Yojimbo - Telesna straža,8.2, 140K,1961,Action Drama Thriller 
Reševanje malega Nema,8.2, 1.2M,2003,Animation Adventure Comedy 
Hauru no ugoku shiro,8.2, 492K,2004,Animation Adventure Family 
La meglio gioventù,8.4, 26K,2003,Drama Romance 
Veliki beg,8.2, 271K,1963,Adventure Drama Thriller 
Monty Python and the Holy Grail,8.2, 593K,1975,Adventure Comedy Fantasy 
Človek slon,8.2, 276K,1980,Biography Drama 
Klaus,8.2, 219K,2019,Animation Adventure Comedy 
Kliči U za umor,8.2, 200K,1954,Crime Drama Mystery 
V vrtincu,8.2, 350K,1939,Drama Romance War 
Skrivnost njihovih oči,8.2, 236K,2009,Drama Mystery Romance 
Kitajska četrt,8.1, 369K,1974,Drama Mystery Thriller 
"Morilci, tatovi in dve nabiti šibrovki",8.1, 639K,1998,Comedy Crime 
V gozdu,8.1, 192K,1950,Crime Drama Mystery 
V kot vroče maščevanje,8.1, 1.2M,2005,Action Drama Sci-Fi 
Vrvež v moji glavi,8.1, 881K,2015,Animation Adventure Comedy 
Trije plakati pred mestom,8.1, 590K,2017,Comedy Crime Drama 
"Ujemi me, če me moreš",8.1, 1.2M,2002,Biography Crime Drama 
Trainspotting,8.1, 755K,1996,Crime Drama 
Most na reki Kwai,8.1, 244K,1957,Adventure Drama War 
Pobesneli bik,8.1, 400K,1980,Biography Drama Sport 
Harry Potter in Svetinje smrti - 2. del,8.1, 1M,2011,Adventure Family Fantasy 
Divja robotka,8.2, 193K,2024,Animation Adventure Family 
Fargo,8.1, 764K,1996,Crime Drama Thriller 
Bojevnik,8.1, 519K,2011,Action Drama Sport 
Punčka za milijon dolarjev,8.1, 752K,2004,Drama Sport 
Gran Torino,8.1, 846K,2008,Drama 
Ben Hur,8.1, 266K,1959,Adventure Drama 
Drustvo mrtvih pesnikov,8.1, 606K,1989,Comedy Drama 
Pobesneli Max: cesta besa,8.1, 1.2M,2015,Action Adventure Sci-Fi 
Barry Lyndon,8.1, 197K,1975,Adventure Drama War 
Tonari no Totoro,8.1, 415K,1988,Animation Adventure Comedy 
Bacheha-ye aseman,8.2, 87K,1997,Drama Family Sport 
Greben rešenih,8.1, 649K,2016,Biography Drama History 
Grand Budapest hotel,8.1, 938K,2014,Comedy Drama 
12 let suženj,8.1, 771K,2013,Biography Drama History 
Pred zoro,8.1, 364K,1995,Comedy Drama Romance 
Spider-Man: Ni poti domov,8.2, 972K,2021,Action Adventure Fantasy 
Iztrebljevalec,8.1, 862K,1982,Action Drama Sci-Fi 
Spomini na umor,8.1, 249K,2003,Crime Drama Mystery 
Ni je več,8.1, 1.1M,2014,Drama Mystery Thriller 
Ratatouille,8.1, 902K,2007,Animation Adventure Comedy 
Kako izuriti svojega zmaja,8.1, 863K,2010,Animation Action Adventure 
Pošasti iz omare,8.1, 1M,2001,Animation Adventure Comedy 
V imenu očeta,8.1, 198K,1993,Biography Crime Drama 
Žrelo,8.1, 711K,1975,Adventure Horror Thriller 
Relatos salvajes,8.1, 232K,2014,Comedy Drama Thriller 
Zlata mrzlica,8.1, 126K,1925,Adventure Comedy Drama 
Izzivalca,8.1, 538K,2019,Action Biography Drama 
Sherlock Jr.,8.1, 63K,1924,Action Comedy Romance 
Mary and Max.,8.1, 198K,2009,Animation Comedy Drama 
Lovec na jelene,8.1, 379K,1978,Drama War 
Plačilo za strah,8.1, 72K,1953,Adventure Drama Thriller 
General,8.1, 104K,1926,Action Adventure Comedy 
Mister Smith v senatu,8.1, 127K,1939,Comedy Drama 
Na pristaniški obali,8.1, 174K,1954,Crime Drama Thriller 
Logan: Wolverine,8.1, 901K,2017,Action Drama Sci-Fi 
Rocky,8.1, 668K,1976,Drama Sport 
Divje jagode,8.1, 122K,1957,Drama Romance 
Tôkyô monogatari,8.1, 75K,1953,Drama 
Tretji človek,8.1, 191K,1949,Drama Film-Noir Mystery 
V žarišču,8.1, 524K,2015,Biography Crime Drama 
Pirati s Karibov: prekletstvo črnega bisera,8.1, 1.3M,2003,Action Adventure Fantasy 
Maharaja,8.4, 73K,2024,Action Crime Drama 
